Price,Beds,Baths,SqFt
45000,2.0,1.0,
52500,3.0,2.0,
485000,8.0,5.0,3935.0
149900,3.0,1.0,925.0
498000,3.0,3.5,1986.0
369900,4.0,3.0,2612.0
110000,5.0,3.0,
934999,3.0,4.0,2750.0
329000,4.0,2.5,2170.0
399900,3.0,2.5,1796.0
280000,4.0,2.0,2372.0
489900,4.0,2.5,2476.0
404900,3.0,2.5,1755.0
399900,3.0,2.0,2012.0
390250,4.0,2.0,1901.0
254900,3.0,2.0,1565.0
315000,4.0,1.5,2176.0
285000,4.0,2.0,1990.0
274900,4.0,2.0,1690.0
305000,3.0,1.5,2057.0
122900,2.0,1.0,910.0
236400,3.0,2.0,1253.0
220000,3.0,2.5,1470.0
150000,2.0,1.0,890.0
112900,2.0,2.0,1098.0
220000,4.0,2.0,1760.0
950000,4.0,4.0,2518.0
145000,4.0,2.0,1356.0
115000,2.0,1.5,976.0
120000,3.0,2.0,1728.0
